id,facet,facet_ja,facet_zh,facet_en,assignment_target,name_ja,name_zh,name_en,aliases_ja,aliases_zh,aliases_en,status,translation_status
genre_000111,role,役柄,角色,Role,genreIds,令嬢,千金小姐,Heiress,,,,active,reviewed
genre_000112,role,役柄,角色,Role,genreIds,幼なじみ,青梅竹马,Childhood Friend,,,,active,reviewed
genre_000113,role,役柄,角色,Role,genreIds,ギャル,辣妹,Gyaru,,,,active,reviewed
genre_000114,role,役柄,角色,Role,genreIds,清楚系,清纯系,Innocent Type,,,,active,reviewed
genre_000115,role,役柄,角色,Role,genreIds,童顔,童颜,Baby-faced,,,,active,reviewed
genre_000116,role,役柄,角色,Role,genreIds,熟女,熟女角色,Mature Woman Role,,,,active,reviewed
genre_000117,role,役柄,角色,Role,genreIds,人妻,人妻角色,Married Woman Role,,,,active,reviewed
genre_000118,role,役柄,角色,Role,genreIds,素人,素人角色,Amateur Role,,,,active,reviewed
genre_000119,role,役柄,角色,Role,genreIds,女戦士,女战士,Female Warrior,,,,active,reviewed
genre_000120,role,役柄,角色,Role,genreIds,くノ一,女忍者,Kunoichi,,,,active,reviewed
genre_000121,role,役柄,角色,Role,genreIds,格闘家,格斗家,Martial Artist,,,,active,reviewed
genre_000122,role,役柄,角色,Role,genreIds,お姫様,公主,Princess,,,,active,reviewed
genre_000123,role,役柄,角色,Role,genreIds,女王様,女王,Dominatrix,,,,active,reviewed
genre_000124,role,役柄,角色,Role,genreIds,奴隷,奴隶,Slave Role,,,,active,reviewed
genre_000125,role,役柄,角色,Role,genreIds,男の娘,伪娘,Feminine Boy,,,,active,reviewed
genre_000126,role,役柄,角色,Role,genreIds,トランスジェンダー女性,跨性别女性,Transgender Woman,ニューハーフ,女装人妖,Trans Woman,active,reviewed
genre_000127,role,役柄,角色,Role,genreIds,男性出演者,男演员,Male Performer,,,,active,reviewed
genre_000128,role,役柄,角色,Role,genreIds,高齢男性,高龄男性,Older Man,,,,active,reviewed
genre_000129,role,役柄,角色,Role,genreIds,外国人出演者,外国演员,Foreign Performer,,,,active,reviewed
genre_000130,role,役柄,角色,Role,genreIds,アジア系出演者,亚洲演员,Asian Performer,,,,active,reviewed
genre_000131,role,役柄,角色,Role,genreIds,黒人出演者,黑人演员,Black Performer,,,,active,reviewed
genre_000132,role,役柄,角色,Role,genreIds,白人出演者,白人演员,White Performer,,,,active,reviewed
genre_000133,wardrobe,衣装,服装,Wardrobe,genreIds,制服,制服,Uniform,,,,active,reviewed
genre_000134,wardrobe,衣装,服装,Wardrobe,genreIds,セーラー服,水手服,Sailor Uniform,,,,active,reviewed
genre_000135,wardrobe,衣装,服装,Wardrobe,genreIds,学校制服,校服,School Uniform,,,,active,reviewed
genre_000136,wardrobe,衣装,服装,Wardrobe,genreIds,体操着,运动服,Gym Clothes,,,,active,reviewed
genre_000137,wardrobe,衣装,服装,Wardrobe,genreIds,ブルマー,运动短裤,Bloomers,,,,active,reviewed
genre_000138,wardrobe,衣装,服装,Wardrobe,genreIds,スクール水着,学校泳装,School Swimsuit,,,,active,reviewed
genre_000139,wardrobe,衣装,服装,Wardrobe,genreIds,水着,泳装,Swimsuit,,,,active,reviewed
genre_000140,wardrobe,衣装,服装,Wardrobe,genreIds,ビキニ,比基尼,Bikini,,,,active,reviewed
genre_000141,wardrobe,衣装,服装,Wardrobe,genreIds,競泳水着,竞泳泳装,Competition Swimsuit,,,,active,reviewed
genre_000142,wardrobe,衣装,服装,Wardrobe,genreIds,下着,内衣,Lingerie,,,,active,reviewed
genre_000143,wardrobe,衣装,服装,Wardrobe,genreIds,ブラジャー,胸罩,Bra,,,,active,reviewed
genre_000144,wardrobe,衣装,服装,Wardrobe,genreIds,パンティ,内裤,Panties,,,,active,reviewed
genre_000145,wardrobe,衣装,服装,Wardrobe,genreIds,ベビードール,娃娃装,Babydoll,,,,active,reviewed
genre_000146,wardrobe,衣装,服装,Wardrobe,genreIds,ネグリジェ,睡裙,Negligee,,,,active,reviewed
genre_000147,wardrobe,衣装,服装,Wardrobe,genreIds,裸エプロン,裸体围裙,Nude Apron,,,,active,reviewed
genre_000148,wardrobe,衣装,服装,Wardrobe,genreIds,エプロン,围裙,Apron,,,,active,reviewed
genre_000149,wardrobe,衣装,服装,Wardrobe,genreIds,メイド服,女仆装,Maid Outfit,,,,active,reviewed
genre_000150,wardrobe,衣装,服装,Wardrobe,genreIds,ナース服,护士服,Nurse Outfit,,,,active,reviewed
genre_000151,wardrobe,衣装,服装,Wardrobe,genreIds,OL服,OL装,Office Wear,,,,active,reviewed
genre_000152,wardrobe,衣装,服装,Wardrobe,genreIds,スーツ,西装,Suit,,,,active,reviewed
genre_000153,wardrobe,衣装,服装,Wardrobe,genreIds,和服,和服,Kimono,,,,active,reviewed
genre_000154,wardrobe,衣装,服装,Wardrobe,genreIds,浴衣,浴衣,Yukata,,,,active,reviewed
genre_000155,wardrobe,衣装,服装,Wardrobe,genreIds,喪服,丧服,Mourning Dress,,,,active,reviewed
genre_000156,wardrobe,衣装,服装,Wardrobe,genreIds,チャイナドレス,旗袍,Cheongsam,,,,active,reviewed
genre_000157,wardrobe,衣装,服装,Wardrobe,genreIds,ウェディングドレス,婚纱,Wedding Dress,,,,active,reviewed
genre_000158,wardrobe,衣装,服装,Wardrobe,genreIds,コスプレ,角色扮演,Cosplay,,,,active,reviewed
genre_000159,wardrobe,衣装,服装,Wardrobe,genreIds,アニメコスプレ,动漫角色扮演,Anime Cosplay,,,,active,reviewed
genre_000160,wardrobe,衣装,服装,Wardrobe,genreIds,バニーガール,兔女郎,Bunny Girl,,,,active,reviewed
genre_000161,wardrobe,衣装,服装,Wardrobe,genreIds,猫耳,猫耳,Cat Ears,,,,active,reviewed
genre_000162,wardrobe,衣装,服装,Wardrobe,genreIds,ゴスロリ,哥特萝莉,Gothic Lolita,,,,active,reviewed
genre_000163,wardrobe,衣装,服装,Wardrobe,genreIds,ミニスカート,迷你裙,Miniskirt,,,,active,reviewed
genre_000164,wardrobe,衣装,服装,Wardrobe,genreIds,超ミニスカート,超短裙,Micro Miniskirt,,,,active,reviewed
genre_000165,wardrobe,衣装,服装,Wardrobe,genreIds,タイトスカート,紧身裙,Pencil Skirt,,,,active,reviewed
genre_000166,wardrobe,衣装,服装,Wardrobe,genreIds,ストッキング,丝袜,Stockings,,,,active,reviewed
genre_000167,wardrobe,衣装,服装,Wardrobe,genreIds,パンスト,连裤袜,Pantyhose,,,,active,reviewed
genre_000168,wardrobe,衣装,服装,Wardrobe,genreIds,ニーハイ,过膝袜,Thigh-high Socks,,,,active,reviewed
genre_000169,wardrobe,衣装,服装,Wardrobe,genreIds,ルーズソックス,泡泡袜,Loose Socks,,,,active,reviewed
genre_000170,wardrobe,衣装,服装,Wardrobe,genreIds,ブーツ,长靴,Boots,,,,active,reviewed
genre_000171,wardrobe,衣装,服装,Wardrobe,genreIds,ハイヒール,高跟鞋,High Heels,,,,active,reviewed
genre_000172,wardrobe,衣装,服装,Wardrobe,genreIds,眼鏡,眼镜,Glasses,,,,active,reviewed
genre_000173,wardrobe,衣装,服装,Wardrobe,genreIds,帽子,帽子,Hat,,,,active,reviewed
genre_000174,wardrobe,衣装,服装,Wardrobe,genreIds,マスク,口罩,Mask,,,,active,reviewed
genre_000175,wardrobe,衣装,服装,Wardrobe,genreIds,全身タイツ,全身紧身衣,Bodysuit,,身体套装,Zentai,active,reviewed
genre_000176,wardrobe,衣装,服装,Wardrobe,genreIds,レオタード,紧身衣,Leotard,,,,active,reviewed
genre_000177,wardrobe,衣装,服装,Wardrobe,genreIds,ボンデージ,束缚装,Bondage Wear,,,,active,reviewed
genre_000178,wardrobe,衣装,服装,Wardrobe,genreIds,女装,女装,Cross-dressing,,,,active,reviewed
genre_000179,wardrobe,衣装,服装,Wardrobe,genreIds,着衣,着衣,Clothed,,,,active,reviewed
genre_000180,wardrobe,衣装,服装,Wardrobe,genreIds,半裸,半裸,Partially Nude,,,,active,reviewed
genre_000181,body,体型・外見,体型与外观,Body & Appearance,genreIds,巨乳,巨乳,Big Bust,,,,active,reviewed
genre_000182,body,体型・外見,体型与外观,Body & Appearance,genreIds,爆乳,爆乳,Very Large Bust,,,,active,reviewed
genre_000183,body,体型・外見,体型与外观,Body & Appearance,genreIds,超乳,超大胸部,Extremely Large Bust,,,,active,reviewed
genre_000184,body,体型・外見,体型与外观,Body & Appearance,genreIds,貧乳,贫乳,Small Bust,,,,active,reviewed
genre_000185,body,体型・外見,体型与外观,Body & Appearance,genreIds,微乳,微乳,Petite Bust,,,,active,reviewed
genre_000186,body,体型・外見,体型与外观,Body & Appearance,genreIds,美乳,美胸,Beautiful Breasts,,,,active,reviewed
genre_000187,body,体型・外見,体型与外观,Body & Appearance,genreIds,巨尻,巨臀,Big Butt,,,,active,reviewed
genre_000188,body,体型・外見,体型与外观,Body & Appearance,genreIds,美尻,美臀,Beautiful Butt,,,,active,reviewed
genre_000189,body,体型・外見,体型与外观,Body & Appearance,genreIds,スレンダー,苗条,Slender,,,,active,reviewed
genre_000190,body,体型・外見,体型与外观,Body & Appearance,genreIds,ぽっちゃり,丰满,Chubby,,,,active,reviewed
genre_000191,body,体型・外見,体型与外观,Body & Appearance,genreIds,肥満,肥胖,Plus-size,,,,active,reviewed
genre_000192,body,体型・外見,体型与外观,Body & Appearance,genreIds,長身,高挑,Tall,,,,active,reviewed
genre_000193,body,体型・外見,体型与外观,Body & Appearance,genreIds,小柄,娇小,Petite,,,,active,reviewed
genre_000194,body,体型・外見,体型与外观,Body & Appearance,genreIds,筋肉質,肌肉型,Muscular,,,,active,reviewed
genre_000195,body,体型・外見,体型与外观,Body & Appearance,genreIds,日焼け,晒黑肤色,Tanned,,,,active,reviewed
genre_000196,body,体型・外見,体型与外观,Body & Appearance,genreIds,色白,白皙,Fair-skinned,,,,active,reviewed
genre_000197,body,体型・外見,体型与外观,Body & Appearance,genreIds,美脚,美腿,Beautiful Legs,,,,active,reviewed
genre_000198,body,体型・外見,体型与外观,Body & Appearance,genreIds,妊婦,孕妇,Pregnant,,,,active,reviewed
genre_000199,body,体型・外見,体型与外观,Body & Appearance,genreIds,パイパン,无阴毛,Hairless,,,,active,reviewed
genre_000200,body,体型・外見,体型与外观,Body & Appearance,genreIds,剛毛,体毛浓密,Hairy,,,,active,reviewed
genre_000201,body,体型・外見,体型与外观,Body & Appearance,genreIds,童顔,童颜,Baby-faced,,,,active,reviewed
genre_000202,body,体型・外見,体型与外观,Body & Appearance,genreIds,成熟体型,成熟体型,Mature Figure,,,,active,reviewed
genre_000203,act,行為,行为,Act,genreIds,キス,接吻,Kissing,,,,active,reviewed
genre_000204,act,行為,行为,Act,genreIds,ディープキス,深吻,Deep Kissing,,,,active,reviewed
genre_000205,act,行為,行为,Act,genreIds,フェラ,口交,Fellatio,,,,active,reviewed
genre_000206,act,行為,行为,Act,genreIds,イラマチオ,深喉,Deep Throat,,,,active,reviewed
genre_000207,act,行為,行为,Act,genreIds,クンニ,舔阴,Cunnilingus,,,,active,reviewed
genre_000208,act,行為,行为,Act,genreIds,手コキ,手交,Handjob,,,,active,reviewed
genre_000209,act,行為,行为,Act,genreIds,足コキ,足交,Footjob,,,,active,reviewed
genre_000210,act,行為,行为,Act,genreIds,パイズリ,乳交,Paizuri,,,,active,reviewed
genre_000211,act,行為,行为,Act,genreIds,素股,股间摩擦,Intercrural Sex,,,,active,reviewed
genre_000212,act,行為,行为,Act,genreIds,騎乗位,女上位,Cowgirl,,,,active,reviewed
genre_000213,act,行為,行为,Act,genreIds,正常位,传教士体位,Missionary,,,,active,reviewed
genre_000214,act,行為,行为,Act,genreIds,後背位,后入式,Rear-entry,,,,active,reviewed
genre_000215,act,行為,行为,Act,genreIds,立ちバック,站立后入,Standing Rear-entry,,,,active,reviewed
genre_000216,act,行為,行为,Act,genreIds,69,69式,Sixty-nine,,,,active,reviewed
genre_000217,act,行為,行为,Act,genreIds,アナル,肛交,Anal Sex,,,,active,reviewed
genre_000218,act,行為,行为,Act,genreIds,中出し,体内射精,Creampie,,,,active,reviewed
genre_000219,act,行為,行为,Act,genreIds,顔射,颜射,Facial,,,,active,reviewed
genre_000220,act,行為,行为,Act,genreIds,口内発射,口内射精,Oral Ejaculation,,,,active,reviewed
genre_000221,act,行為,行为,Act,genreIds,飲精,吞精,Semen Swallowing,,,,active,reviewed
genre_000222,act,行為,行为,Act,genreIds,ぶっかけ,多人射精,Bukkake,,,,active,reviewed
genre_000223,act,行為,行为,Act,genreIds,ごっくん,吞饮精液,Gokkun,,,,active,reviewed
genre_000224,act,行為,行为,Act,genreIds,放尿,排尿,Urination,,,,active,reviewed
genre_000225,act,行為,行为,Act,genreIds,潮吹き,潮吹,Squirting,,,,active,reviewed
genre_000226,act,行為,行为,Act,genreIds,大量潮吹き,大量潮吹,Heavy Squirting,,,,active,reviewed
genre_000227,act,行為,行为,Act,genreIds,指入れ,指交,Fingering,,,,active,reviewed
genre_000228,act,行為,行为,Act,genreIds,フィスト,拳交,Fisting,,,,active,reviewed
genre_000229,act,行為,行为,Act,genreIds,複数プレイ,多人性行为,Group Sex,,,,active,reviewed
genre_000230,act,行為,行为,Act,genreIds,3P,三人性行为,Threesome,,,,active,reviewed
genre_000231,act,行為,行为,Act,genreIds,乱交,群交,Orgy,,,,active,reviewed
genre_000232,act,行為,行为,Act,genreIds,自慰,自慰,Masturbation,,,,active,reviewed
genre_000233,act,行為,行为,Act,genreIds,相互自慰,相互自慰,Mutual Masturbation,,,,active,reviewed
genre_000234,act,行為,行为,Act,genreIds,ローション,润滑液玩法,Lotion Play,,,,active,reviewed
genre_000235,act,行為,行为,Act,genreIds,マッサージ,按摩,Massage,,,,active,reviewed
genre_000236,act,行為,行为,Act,genreIds,オイル,精油按摩,Oil Play,,,,active,reviewed
genre_000237,act,行為,行为,Act,genreIds,乳首責め,乳头刺激,Nipple Stimulation,,,,active,reviewed
genre_000238,act,行為,行为,Act,genreIds,乳揉み,揉胸,Breast Fondling,,,,active,reviewed
genre_000239,act,行為,行为,Act,genreIds,尻叩き,打屁股,Spanking,,,,active,reviewed
genre_000240,act,行為,行为,Act,genreIds,言葉責め,言语调教,Dirty Talk,,,,active,reviewed
genre_000241,act,行為,行为,Act,genreIds,痴女,主动女性,Seductress,,,,active,reviewed
genre_000242,act,行為,行为,Act,genreIds,男潮吹き,男性潮吹,Male Squirting,,,,active,reviewed
genre_000243,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,SM,SM,BDSM,,,,active,reviewed
genre_000244,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,緊縛,绳缚,Kinbaku,,,,active,reviewed
genre_000245,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,拘束,拘束,Restraint,,,,active,reviewed
genre_000246,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,調教,调教,Training,,,,active,reviewed
genre_000247,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,奴隷,奴隶玩法,Slave Play,,,,active,reviewed
genre_000248,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,女王様,女王玩法,Dominatrix Play,,,,active,reviewed
genre_000249,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,羞恥プレイ,羞耻玩法,Humiliation Play,,,,active,reviewed
genre_000250,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,露出プレイ,露出玩法,Exhibitionism,,,,active,reviewed
genre_000251,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,野外,户外,Outdoor,,,,active,reviewed
genre_000252,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,カーセックス,车内性行为,Car Sex,,,,active,reviewed
genre_000253,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,風呂,浴室,Bath,,,,active,reviewed
genre_000254,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,泡風呂,泡泡浴,Bubble Bath,,,,active,reviewed
genre_000255,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,温泉プレイ,温泉玩法,Hot Spring Play,,,,active,reviewed
genre_000256,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,玩具,成人玩具,Sex Toys,,,,active,reviewed
genre_000257,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,バイブ,振动棒,Vibrator,,,,active,reviewed
genre_000258,practice,プレイ・嗜好,玩法与偏好,Practice & Fetish,genreIds,ディルド,仿真阳具,Dildo,,,,active,reviewed
